img_src,x,y
0.png,0.18068945,0.16245997
1.png,0.8184416,0.7357903
2.png,0.54690206,0.51098543
3.png,0.553028,0.64443666
4.png,0.7697504,0.7538831
5.png,0.44693613,0.5482905
6.png,0.7727945,0.82515246
7.png,0.6033124,0.49978843
8.png,0.6499167,0.6604644
9.png,0.7804506,0.6482742
10.png,0.10434287,0.115808375
11.png,0.1527792,0.19657747
12.png,0.08024188,0.09342158
13.png,0.6408065,0.53089446
14.png,0.8565531,0.89063966
15.png,0.63484764,0.714062
16.png,0.49280512,0.52256614
17.png,0.8845305,0.73097247
18.png,0.20491481,0.28665704
19.png,0.10187455,0.1410747
20.png,0.9955537,0.93979055
21.png,0.593507,0.54794353
22.png,0.7176351,0.78101635
23.png,0.72773975,0.6616606
24.png,0.45638436,0.43258297
25.png,0.056698952,0.06853718
26.png,0.24627088,0.21187414
27.png,0.68135864,0.62456715
28.png,0.6892432,0.6910538
29.png,0.94434005,0.8991242
30.png,0.2285027,0.31369403
31.png,0.28234994,0.2378399
32.png,0.18444611,0.2562702
33.png,0.3954937,0.4981689
34.png,0.82890475,0.8680522
35.png,0.69121563,0.75706124
36.png,0.47349754,0.5715847
37.png,0.57522213,0.594261
38.png,0.63670087,0.5853989
39.png,0.74519926,0.8032163
40.png,0.40847427,0.3951442
41.png,0.23208152,0.25051308
42.png,0.4221301,0.34968367
43.png,0.9668343,0.974679
44.png,0.44962105,0.4829988
45.png,0.91055024,0.8034241
46.png,0.8109959,0.78783476
47.png,0.3055759,0.32349727
48.png,0.49715373,0.41148695
49.png,0.2974837,0.39406258
50.png,0.8008825,0.8466176
51.png,0.16114552,0.22920062
52.png,0.42143846,0.5230757
53.png,0.8495782,0.70623934
54.png,0.9927023,0.908768
55.png,0.8168506,0.6751683
56.png,0.6131966,0.627376
57.png,0.6626587,0.7363509
58.png,1.0003599,0.99991316
59.png,0.3206247,0.42082694
60.png,0.77421755,0.69798046
61.png,0.3186471,0.26673883
62.png,0.9140069,0.9301552
63.png,0.9992776,0.9708965
64.png,0.38806534,0.32213914
65.png,0.406439,0.44098607
66.png,0.25110433,0.34141633
67.png,0.3421749,0.35149938
68.png,0.85114694,0.8173978
69.png,0.52602786,0.62088746
70.png,0.5673981,0.46938175
71.png,0.53251946,0.4440288
72.png,0.91940176,0.760278
73.png,0.97660875,0.87022007
74.png,0.74622965,0.61580986
75.png,0.27189416,0.28934398
76.png,0.676937,0.56022435
77.png,0.53562355,0.5611709
78.png,0.36149612,0.39180136
79.png,0.5803048,0.66772604
80.png,0.93974936,0.95359105
81.png,0.4583881,0.38159028
82.png,0.8847057,0.91164637
83.png,0.2742631,0.36787865
84.png,0.73079854,0.7201845
85.png,0.88633835,0.8529797
86.png,0.9555827,0.7889234
87.png,0.865705,0.76868784
88.png,0.20640983,0.19406302
89.png,0.12305636,0.1754876
90.png,0.49973395,0.47485805
91.png,0.9667584,0.82826716
92.png,0.37049142,0.47228232
93.png,0.9295914,0.8521747
94.png,0.35317764,0.29496288
95.png,0.6075269,0.69103277
96.png,0.14130902,0.1488369
97.png,0.34523746,0.4467587
98.png,0.7116625,0.5883835
99.png,0.49979058,0.5962322
